project_id,attendance,study_hours,previous_performance,task_completion,pending_tasks,missed_deadlines,milestone_completion,days_remaining,team_size,project_type,planned_tasks,completed_tasks,project_progress,delay_risk
PROJ-0001,,22.6,62.8,85.7,1,0,88.1,52,7,AI,7,6,71.7,LOW
PROJ-0002,61.3,19.4,88.8,53.6,13,2,66.9,40,6,Web,28,15,58.3,MEDIUM
PROJ-0003,74.6,1.0,60.0,31.0,20,1,28.2,53,2,Research,29,9,45.5,MEDIUM
PROJ-0004,75.3,17.3,78.5,75.9,7,1,75.0,45,7,Mobile,29,22,92.2,LOW
PROJ-0005,88.1,28.0,77.9,76.0,6,0,63.7,71,1,IoT,25,19,62.5,LOW
PROJ-0006,100.0,21.6,78.9,92.9,2,2,63.3,40,3,AI,28,26,58.7,LOW
PROJ-0007,73.4,28.5,65.7,71.4,4,0,62.7,70,5,IoT,14,10,74.8,LOW
PROJ-0008,66.8,1.7,69.1,50.0,3,2,43.3,20,7,AI,6,3,44.1,MEDIUM
PROJ-0009,84.7,17.4,80.5,66.7,6,1,27.9,48,7,Research,18,12,81.2,MEDIUM
PROJ-0010,80.2,22.0,69.9,81.8,2,2,30.4,49,7,Research,11,9,74.6,LOW
PROJ-0011,55.2,13.8,49.7,52.0,12,2,46.8,56,4,AI,25,13,43.2,MEDIUM
PROJ-0012,74.8,26.6,56.5,50.0,4,1,77.3,36,5,Research,8,4,51.8,LOW
PROJ-0013,84.8,24.0,87.1,61.5,5,1,71.7,61,3,Research,13,8,74.7,LOW
PROJ-0014,71.2,12.5,46.4,50.0,7,0,96.5,50,2,AI,14,7,70.8,LOW
PROJ-0015,51.0,6.9,76.9,33.3,4,0,28.1,49,7,Web,6,2,27.2,MEDIUM
PROJ-0016,72.8,9.6,60.6,5.6,17,5,35.9,16,2,AI,18,1,26.1,HIGH
PROJ-0017,69.2,10.7,81.5,76.0,6,1,63.3,64,4,Mobile,25,19,79.8,LOW
PROJ-0018,64.6,9.3,49.4,14.3,6,1,41.6,1,3,AI,7,1,41.8,HIGH
PROJ-0019,58.0,12.2,51.1,30.0,7,4,55.2,40,6,Mobile,10,3,60.4,MEDIUM
PROJ-0020,85.8,17.1,74.6,66.7,5,0,70.7,35,7,IoT,15,10,98.5,LOW
PROJ-0021,76.4,28.4,67.9,77.8,2,0,86.7,90,6,IoT,9,7,57.5,LOW
PROJ-0022,60.9,3.2,69.5,42.9,12,4,42.9,15,2,AI,21,9,23.4,MEDIUM
PROJ-0023,81.4,22.2,79.1,85.7,3,3,70.6,38,1,Research,21,18,67.6,LOW
PROJ-0024,79.4,23.0,55.6,83.3,1,2,49.9,8,7,Mobile,6,5,69.0,LOW
PROJ-0025,77.6,13.2,59.3,0.0,8,4,40.3,14,5,IoT,8,0,37.6,HIGH
PROJ-0026,100.0,18.9,73.4,50.0,11,1,88.5,46,1,AI,22,11,63.8,LOW
PROJ-0027,68.5,9.3,59.7,30.0,7,6,12.8,28,7,Mobile,10,3,36.0,HIGH
PROJ-0028,75.2,23.0,76.7,88.9,2,1,68.7,65,1,Mobile,18,16,47.1,LOW
PROJ-0029,62.8,6.3,46.8,0.0,29,3,61.5,16,7,Mobile,29,0,62.4,HIGH
PROJ-0030,75.5,11.5,48.6,60.0,10,0,78.3,65,4,IoT,25,15,57.9,LOW
PROJ-0031,53.7,16.6,69.8,70.6,5,5,86.9,8,7,Mobile,17,12,33.5,MEDIUM
PROJ-0032,,,72.1,62.5,3,0,75.6,41,1,AI,8,5,51.5,LOW
PROJ-0033,73.8,12.3,39.4,20.0,4,3,35.9,35,7,Mobile,5,1,27.5,HIGH
PROJ-0034,50.5,24.5,38.0,25.0,6,7,19.2,13,4,Research,8,2,49.3,HIGH
PROJ-0035,64.1,8.3,63.7,66.7,3,1,48.5,31,4,Research,9,6,32.1,MEDIUM
PROJ-0036,89.3,14.1,52.4,36.4,7,5,70.0,3,6,Research,11,4,59.9,MEDIUM
PROJ-0037,81.0,10.1,44.9,50.0,13,7,37.2,25,1,AI,26,13,47.4,HIGH
PROJ-0038,35.7,8.0,64.5,0.0,28,2,34.7,28,1,AI,28,0,42.5,HIGH
PROJ-0039,60.8,7.9,74.4,23.1,10,2,35.8,46,5,Research,13,3,32.8,HIGH
PROJ-0040,71.4,15.8,60.8,60.0,2,2,19.7,3,2,Research,5,3,57.4,MEDIUM
PROJ-0041,68.4,9.0,44.3,16.7,10,6,33.7,31,2,Mobile,12,2,40.8,HIGH
PROJ-0042,81.2,6.6,65.2,28.6,20,4,40.4,47,7,AI,28,8,21.9,HIGH
PROJ-0043,79.1,31.0,88.2,85.0,3,2,50.6,41,3,Research,20,17,50.6,LOW
PROJ-0044,95.6,14.9,59.0,55.2,13,0,54.2,71,4,Mobile,29,16,66.4,LOW
PROJ-0045,91.8,12.5,,42.1,11,1,99.3,73,2,IoT,19,8,36.2,LOW
PROJ-0046,65.9,8.6,39.1,20.0,8,3,60.9,1,2,Research,10,2,25.6,HIGH
PROJ-0047,44.9,13.5,68.8,3.4,28,5,22.8,19,1,Web,29,1,8.6,HIGH
PROJ-0048,69.5,7.9,45.5,46.2,14,2,24.4,7,3,Web,26,12,0.0,HIGH
PROJ-0049,50.1,17.5,73.4,48.3,15,3,31.4,52,5,Web,29,14,40.3,MEDIUM
PROJ-0050,69.0,7.3,49.5,12.5,14,3,57.9,31,2,Web,16,2,40.8,MEDIUM
PROJ-0051,65.5,10.8,57.0,0.0,9,4,56.6,33,6,Research,9,0,24.2,HIGH
PROJ-0052,66.5,6.4,48.1,13.6,19,6,4.6,45,2,Research,22,3,33.7,HIGH
PROJ-0053,83.5,15.2,73.9,50.0,13,3,,1,3,IoT,26,13,41.3,MEDIUM
PROJ-0054,82.8,7.5,70.8,50.0,5,3,23.8,14,2,Research,10,5,36.1,MEDIUM
PROJ-0055,80.3,21.3,79.4,95.7,1,0,55.3,27,4,Mobile,23,22,73.2,LOW
PROJ-0056,74.5,26.8,78.2,53.3,7,3,56.1,27,3,AI,15,8,28.2,MEDIUM
PROJ-0057,80.6,14.0,80.0,73.3,4,1,86.7,48,3,IoT,15,11,50.7,LOW
PROJ-0058,79.5,13.5,77.7,72.7,3,0,56.0,57,2,Mobile,11,8,57.9,LOW
PROJ-0059,79.6,19.5,60.9,64.0,9,1,84.6,65,7,AI,25,16,76.5,LOW
PROJ-0060,62.9,13.5,56.3,76.2,5,1,87.0,38,3,Research,21,16,18.5,MEDIUM
PROJ-0061,72.9,10.5,62.2,18.5,22,1,35.7,56,3,Web,27,5,49.5,MEDIUM
PROJ-0062,62.3,5.4,67.2,0.0,13,4,59.8,1,6,AI,13,0,55.6,HIGH
PROJ-0063,71.2,10.2,42.1,37.5,10,3,32.3,12,1,Research,16,6,0.0,HIGH
PROJ-0064,63.0,11.5,37.3,18.2,9,4,60.9,30,2,Web,11,2,32.8,HIGH
PROJ-0065,67.8,23.7,80.0,87.0,3,0,75.3,51,3,AI,23,20,100.0,LOW
PROJ-0066,71.2,11.9,61.9,60.0,2,4,0.3,4,2,AI,5,3,53.6,MEDIUM
PROJ-0067,81.8,18.7,,40.0,3,2,71.2,38,7,Research,5,2,,MEDIUM
PROJ-0068,81.9,9.1,62.5,55.6,8,1,76.4,75,7,IoT,18,10,9.9,MEDIUM
PROJ-0069,,8.0,52.3,25.0,6,3,42.8,35,5,IoT,8,2,19.3,HIGH
PROJ-0070,74.1,15.9,40.1,20.0,4,3,44.1,3,1,AI,5,1,14.6,HIGH
PROJ-0071,74.5,10.0,59.7,25.0,18,3,42.7,78,1,AI,24,6,64.2,MEDIUM
PROJ-0072,73.9,20.5,62.9,60.0,6,0,59.0,61,2,Research,15,9,72.7,LOW
PROJ-0073,71.2,18.3,84.2,60.0,4,3,81.1,30,5,Web,10,6,79.0,LOW
PROJ-0074,,19.8,68.1,100.0,0,0,68.6,40,5,AI,22,22,76.9,LOW
PROJ-0075,91.2,26.5,87.9,84.0,4,2,72.6,44,4,IoT,25,21,89.4,LOW
PROJ-0076,72.5,17.3,63.8,35.0,13,1,26.4,21,6,IoT,20,7,40.6,MEDIUM
PROJ-0077,81.0,29.2,65.7,32.0,17,1,48.7,75,4,IoT,25,8,62.5,LOW
PROJ-0078,83.3,18.8,71.5,42.9,16,6,51.8,59,3,Research,28,12,40.6,MEDIUM
PROJ-0079,62.1,12.1,79.7,36.0,16,2,41.3,23,3,IoT,25,9,47.6,MEDIUM
PROJ-0080,72.9,8.4,76.4,33.3,6,2,38.5,1,3,Research,9,3,35.9,HIGH
PROJ-0081,86.7,15.3,59.2,66.7,9,1,42.0,30,3,AI,27,18,56.9,MEDIUM
PROJ-0082,64.3,17.0,73.0,36.4,7,2,46.2,52,2,Mobile,11,4,43.9,MEDIUM
PROJ-0083,64.2,13.1,20.4,35.7,18,6,20.4,1,4,IoT,28,10,21.3,HIGH
PROJ-0084,100.0,22.5,68.9,75.0,2,3,73.6,37,2,Mobile,8,6,66.1,LOW
PROJ-0085,,14.4,55.8,60.0,6,3,33.4,53,7,IoT,15,9,30.6,MEDIUM
PROJ-0086,100.0,12.7,,50.0,6,0,75.9,70,7,Web,12,6,75.3,LOW
PROJ-0087,81.0,12.6,53.0,85.0,3,0,57.9,56,5,IoT,20,17,100.0,LOW
PROJ-0088,82.6,21.6,77.5,50.0,3,2,90.2,85,7,Web,6,3,73.0,LOW
PROJ-0089,86.7,10.4,36.5,38.1,13,8,51.7,1,3,Research,21,8,26.3,HIGH
PROJ-0090,66.1,1.0,44.3,14.8,23,4,21.1,2,4,Web,27,4,31.0,HIGH
PROJ-0091,72.5,10.9,27.8,33.3,18,3,56.7,10,6,Mobile,27,9,15.9,HIGH
PROJ-0092,76.7,18.6,76.7,63.0,10,0,74.0,1,4,Mobile,27,17,68.6,LOW
PROJ-0093,86.7,,76.5,50.0,4,0,54.1,50,7,Mobile,8,4,73.8,LOW
PROJ-0094,81.0,20.5,72.6,71.4,4,0,59.2,15,6,Research,14,10,79.2,LOW
PROJ-0095,80.1,20.1,83.5,81.8,4,3,59.8,28,7,Web,22,18,57.3,LOW
PROJ-0096,62.0,5.2,61.0,15.4,11,2,10.6,1,2,Web,13,2,31.7,HIGH
PROJ-0097,49.2,5.9,73.8,35.0,13,3,69.9,7,6,Web,20,7,25.5,MEDIUM
PROJ-0098,33.5,12.5,40.4,11.8,15,6,47.4,41,3,Web,17,2,,HIGH
PROJ-0099,91.6,21.2,65.9,64.3,5,2,61.9,56,1,IoT,14,9,100.0,LOW
PROJ-0100,62.1,15.8,91.6,70.6,5,3,78.6,37,6,Research,17,12,77.1,LOW
PROJ-0101,73.7,26.3,86.6,77.8,4,1,56.3,29,6,Mobile,18,14,69.9,LOW
PROJ-0102,87.5,20.8,78.5,80.0,1,0,,62,7,Mobile,5,4,76.9,LOW
PROJ-0103,65.0,1.0,70.3,76.5,4,6,55.5,74,5,IoT,17,13,92.1,MEDIUM
PROJ-0104,42.8,8.2,52.6,0.0,5,4,40.5,3,7,IoT,5,0,18.6,HIGH
PROJ-0105,79.8,13.9,66.3,96.6,1,0,55.2,69,1,IoT,29,28,71.5,LOW
PROJ-0106,99.7,26.8,,46.4,15,1,66.7,32,4,Web,28,13,75.5,LOW
PROJ-0107,100.0,22.8,61.2,70.4,8,0,83.0,51,7,Mobile,27,19,66.4,LOW
PROJ-0108,78.6,22.7,86.5,82.1,5,0,79.4,46,6,IoT,28,23,61.4,LOW
PROJ-0109,70.6,12.7,58.5,10.0,9,13,22.9,1,3,IoT,10,1,,HIGH
PROJ-0110,78.1,14.2,58.6,69.2,8,1,86.9,38,5,Research,26,18,62.1,LOW
PROJ-0111,,12.2,66.1,64.7,6,3,80.0,66,5,IoT,17,11,56.6,LOW
PROJ-0112,81.3,23.6,79.7,58.3,10,1,69.5,56,1,AI,24,14,49.2,LOW
PROJ-0113,56.4,9.0,34.2,11.8,15,2,7.2,48,1,IoT,17,2,8.7,HIGH
PROJ-0114,75.8,12.2,79.6,71.4,8,1,74.8,30,7,Research,28,20,65.6,LOW
PROJ-0115,100.0,12.4,65.6,30.0,7,2,21.6,40,3,AI,10,3,43.2,MEDIUM
PROJ-0116,60.7,20.6,43.6,21.7,18,5,0.0,1,2,IoT,23,5,17.8,HIGH
PROJ-0117,79.3,19.2,83.2,39.3,17,2,63.5,1,2,AI,28,11,30.3,MEDIUM
PROJ-0118,61.3,6.7,52.4,44.8,16,3,55.7,17,4,Mobile,29,13,74.5,MEDIUM
PROJ-0119,74.1,21.8,69.0,40.9,13,1,42.6,14,1,Research,22,9,78.8,LOW
PROJ-0120,48.9,16.5,82.6,41.7,7,3,51.7,38,6,Web,12,5,35.3,MEDIUM
PROJ-0121,80.3,12.4,75.2,80.0,3,2,66.8,18,3,Web,15,12,57.6,LOW
PROJ-0122,93.7,15.5,59.0,61.5,5,1,,18,6,IoT,13,8,89.6,LOW
PROJ-0123,80.0,3.4,57.4,33.3,6,4,28.8,33,6,Mobile,9,3,5.3,HIGH
PROJ-0124,70.6,18.2,72.3,47.1,9,1,64.9,65,3,Web,17,8,73.4,LOW
PROJ-0125,75.3,1.0,36.1,41.2,10,4,59.7,28,2,Mobile,17,7,45.9,MEDIUM
PROJ-0126,68.4,11.0,55.0,28.6,5,0,31.9,44,5,AI,7,2,36.0,HIGH
PROJ-0127,77.7,,,28.6,5,3,47.6,9,7,Web,7,2,48.1,MEDIUM
PROJ-0128,43.7,9.8,39.4,60.0,6,2,4.0,43,1,Mobile,15,9,13.4,HIGH
PROJ-0129,70.0,17.4,85.5,22.2,7,1,60.2,5,7,Web,9,2,25.1,MEDIUM
PROJ-0130,73.2,14.8,62.0,66.7,7,1,20.1,66,4,Mobile,21,14,50.8,MEDIUM
PROJ-0131,64.7,10.7,53.3,42.9,4,5,22.1,18,7,Web,7,3,13.3,HIGH
PROJ-0132,81.2,9.7,48.3,48.1,14,3,65.7,37,3,Web,27,13,5.3,MEDIUM
PROJ-0133,71.2,,63.3,42.3,15,0,20.4,4,7,Web,26,11,60.5,MEDIUM
PROJ-0134,79.9,30.9,,68.0,8,1,60.4,21,4,IoT,25,17,86.7,LOW
PROJ-0135,71.4,10.0,48.8,22.7,17,3,42.8,12,2,Research,22,5,34.5,HIGH
PROJ-0136,80.6,9.2,44.1,34.8,15,7,30.9,18,3,Web,23,8,27.7,HIGH
PROJ-0137,51.1,7.4,43.4,11.1,16,4,19.2,25,7,AI,18,2,0.0,HIGH
PROJ-0138,46.1,8.7,73.2,12.5,7,5,7.6,45,2,Mobile,8,1,24.2,HIGH
PROJ-0139,81.1,22.8,67.8,52.0,12,1,82.5,74,2,AI,25,13,71.8,LOW
PROJ-0140,100.0,15.2,62.2,80.0,4,1,,18,4,IoT,20,16,73.6,LOW
PROJ-0141,,8.1,84.2,38.9,11,3,29.6,44,6,AI,18,7,17.7,HIGH
PROJ-0142,31.1,15.8,71.3,0.0,14,5,17.9,20,2,AI,14,0,23.4,HIGH
PROJ-0143,,11.2,49.8,20.0,4,4,33.4,32,1,Mobile,5,1,13.6,HIGH
PROJ-0144,69.4,8.2,48.5,13.0,20,3,22.9,33,4,AI,23,3,2.8,HIGH
PROJ-0145,72.6,7.0,67.2,0.0,23,3,14.9,49,6,Web,23,0,0.0,HIGH
PROJ-0146,81.6,8.9,61.3,28.6,5,4,65.4,52,3,Mobile,7,2,26.5,MEDIUM
PROJ-0147,,10.3,82.4,33.3,4,1,62.9,19,4,AI,6,2,33.3,MEDIUM
PROJ-0148,77.5,10.4,,20.0,4,6,57.4,22,4,Mobile,5,1,34.3,HIGH
PROJ-0149,78.1,8.8,75.2,58.3,5,2,30.1,13,2,AI,12,7,44.3,MEDIUM
PROJ-0150,53.2,12.5,61.8,44.8,16,2,61.7,58,5,Research,29,13,34.7,MEDIUM
PROJ-0151,87.1,29.9,71.6,81.8,2,1,89.6,62,5,Mobile,11,9,87.9,LOW
PROJ-0152,80.0,14.2,66.9,33.3,4,6,64.8,36,2,Web,6,2,31.6,HIGH
PROJ-0153,65.5,7.9,45.8,29.6,19,5,38.4,1,1,Web,27,8,10.9,HIGH
PROJ-0154,35.5,9.9,47.5,59.1,9,4,14.5,12,7,Research,22,13,18.8,HIGH
PROJ-0155,80.1,18.9,43.7,20.0,20,1,72.3,40,1,Web,25,5,47.6,MEDIUM
PROJ-0156,77.3,19.2,72.3,57.9,8,2,73.1,24,6,IoT,19,11,58.3,LOW
PROJ-0157,80.4,14.4,57.8,55.6,4,3,81.7,54,1,Web,9,5,65.9,MEDIUM
PROJ-0158,80.9,11.3,60.0,40.0,6,3,81.1,25,3,IoT,10,4,62.5,MEDIUM
PROJ-0159,52.5,13.2,53.2,45.8,13,5,29.4,2,4,AI,24,11,56.9,HIGH
PROJ-0160,,21.0,91.5,81.0,4,0,69.8,23,1,Mobile,21,17,79.9,LOW
PROJ-0161,43.4,21.1,47.8,48.0,13,4,54.1,14,6,Research,25,12,55.7,MEDIUM
PROJ-0162,72.9,3.1,65.9,40.0,9,5,46.1,45,7,Web,15,6,37.8,MEDIUM
PROJ-0163,88.7,12.4,85.7,71.4,2,1,61.5,44,5,IoT,7,5,87.3,LOW
PROJ-0164,81.4,25.7,74.4,72.4,8,0,57.5,54,4,AI,29,21,87.4,LOW
PROJ-0165,85.5,30.7,56.2,57.7,11,3,58.5,57,3,Web,26,15,53.4,LOW
PROJ-0166,64.6,13.7,67.6,3.8,25,3,45.1,42,6,Mobile,26,1,22.9,HIGH
PROJ-0167,86.9,17.2,88.8,65.4,9,1,77.2,16,5,IoT,26,17,56.7,LOW
PROJ-0168,71.3,28.5,49.8,59.3,11,3,47.1,39,5,Mobile,27,16,64.8,LOW
PROJ-0169,61.7,22.6,61.8,29.4,12,1,2.7,52,7,Mobile,17,5,60.8,MEDIUM
PROJ-0170,88.6,19.5,45.0,54.5,5,1,27.6,32,1,IoT,11,6,33.9,MEDIUM
PROJ-0171,73.3,10.3,49.7,52.2,11,1,18.7,25,5,Mobile,23,12,63.8,HIGH
PROJ-0172,34.3,18.5,79.0,40.0,3,3,28.0,40,2,Web,5,2,29.8,MEDIUM
PROJ-0173,85.3,8.2,50.6,50.0,14,5,22.6,1,2,AI,28,14,62.3,MEDIUM
PROJ-0174,62.2,22.2,62.2,44.4,10,1,61.5,18,5,Mobile,18,8,59.9,MEDIUM
PROJ-0175,66.8,18.1,61.8,60.0,2,1,32.3,57,3,Web,5,3,80.2,LOW
PROJ-0176,78.6,10.9,62.4,41.4,17,1,52.1,36,1,IoT,29,12,65.0,MEDIUM
PROJ-0177,65.0,6.2,12.9,42.1,11,4,28.2,31,2,Research,19,8,4.1,HIGH
PROJ-0178,50.0,12.6,32.4,8.3,11,4,40.9,16,5,Web,12,1,35.4,HIGH
PROJ-0179,78.1,22.4,74.0,33.3,4,1,89.4,47,1,Mobile,6,2,62.0,LOW
PROJ-0180,53.4,11.0,75.6,71.4,4,1,44.9,27,4,Web,14,10,55.4,MEDIUM
PROJ-0181,71.7,14.6,64.7,13.6,19,4,13.3,17,7,Research,22,3,35.7,HIGH
PROJ-0182,59.4,11.4,54.0,28.0,18,2,48.5,16,7,Web,25,7,15.1,MEDIUM
PROJ-0183,71.2,15.7,51.7,42.9,4,4,68.1,11,1,AI,7,3,35.6,MEDIUM
PROJ-0184,67.8,31.4,89.2,66.7,4,2,72.9,17,7,Research,12,8,74.5,LOW
PROJ-0185,74.5,17.5,67.4,50.0,4,2,52.7,30,3,AI,8,4,,MEDIUM
PROJ-0186,65.2,7.8,64.5,28.0,18,4,43.4,13,4,IoT,25,7,16.0,HIGH
PROJ-0187,44.6,7.2,53.4,27.3,8,5,30.1,24,6,IoT,11,3,22.6,HIGH
PROJ-0188,61.1,1.0,45.5,0.0,6,5,48.2,29,4,Research,6,0,21.2,HIGH
PROJ-0189,88.4,15.9,83.1,64.7,6,0,72.9,68,2,Web,17,11,82.6,LOW
PROJ-0190,47.1,7.5,50.0,47.1,9,1,83.3,39,2,AI,17,8,66.4,MEDIUM
PROJ-0191,70.7,14.3,66.6,59.1,9,0,89.3,56,6,Web,22,13,100.0,LOW
PROJ-0192,59.3,4.4,,11.8,15,5,42.4,1,4,IoT,17,2,9.0,HIGH
PROJ-0193,50.2,9.0,32.2,50.0,8,4,31.2,12,3,Mobile,16,8,31.9,HIGH
PROJ-0194,66.7,16.0,41.3,32.1,19,2,27.2,40,7,Web,28,9,0.0,HIGH
PROJ-0195,90.4,13.3,83.0,76.0,6,1,50.3,47,5,Mobile,25,19,51.4,MEDIUM
PROJ-0196,82.8,23.4,65.3,84.6,2,2,,36,2,Research,13,11,62.6,LOW
PROJ-0197,79.2,13.2,75.1,68.4,6,1,73.2,42,6,AI,19,13,62.2,LOW
PROJ-0198,68.6,14.6,40.5,19.2,21,2,16.4,45,7,AI,26,5,48.7,MEDIUM
PROJ-0199,34.0,4.4,42.2,33.3,12,2,,39,5,Research,18,6,24.2,HIGH
PROJ-0200,36.5,14.4,38.4,50.0,11,3,34.8,33,3,Research,22,11,12.3,HIGH
PROJ-0201,92.7,2.0,47.2,21.1,15,4,26.3,8,3,Mobile,19,4,40.7,HIGH
PROJ-0202,93.5,25.2,69.8,55.0,9,3,57.9,67,1,IoT,20,11,60.0,LOW
PROJ-0203,66.6,14.2,46.2,50.0,7,1,37.6,25,3,Mobile,14,7,44.1,MEDIUM
PROJ-0204,46.4,8.2,53.5,27.3,8,3,70.2,21,4,IoT,11,3,36.2,HIGH
PROJ-0205,70.6,11.8,66.8,57.1,6,5,66.4,46,7,AI,14,8,17.2,MEDIUM
PROJ-0206,58.9,17.8,73.0,62.5,9,4,54.9,32,5,IoT,24,15,50.5,MEDIUM
PROJ-0207,60.1,13.0,72.9,50.0,14,4,47.8,46,1,IoT,28,14,0.0,MEDIUM
PROJ-0208,,8.9,37.7,0.0,27,7,28.1,22,5,Research,27,0,27.7,HIGH
PROJ-0209,74.8,13.0,51.4,0.0,6,4,36.3,37,5,AI,6,0,38.9,HIGH
PROJ-0210,84.2,13.2,54.1,68.8,5,2,55.6,49,3,IoT,16,11,84.8,LOW
PROJ-0211,74.0,12.5,69.4,44.4,10,0,69.1,21,7,Web,18,8,57.1,MEDIUM
PROJ-0212,87.7,28.0,86.3,66.7,4,1,91.8,45,2,Mobile,12,8,61.3,LOW
PROJ-0213,40.5,12.0,36.8,37.5,5,4,10.5,2,7,IoT,8,3,0.3,HIGH
